"","X","d","d_h","h","a","mean_diff","mean_h","mean_p","U95","L95","U90","L90","U80","L80","C95","C90","C80","d_hat"
"85",85,-3,-3,1,0.7,0.33767951228186,-2.30207563998545,-2.00610207064601,-0.524016112368484,-4.96520719765071,-0.775695808915342,-4.49003860417651,-1.08145109243793,-3.96449516930798,0.9,0.99,0.99,-2.44879439561814
"86",86,-3,-2,1,0.7,0.869605791857842,-0.997777820157779,-1.7107407814552,0.095321535503977,-3.44215858814403,-0.122248701780778,-3.06857404500188,-0.38056902603051,-2.65719619351711,0.608,0.634,0.838,-1.47154137523352
"87",87,-3,-1,1,0.7,1.13355430470587,-0.145691255052942,-1.15396297347543,0.69083595991241,-2.24749072716973,0.489376869049648,-1.95401534888268,0.25598870637451,-1.63198376487381,0,0.094,0.35,-0.661539122259681
"88",88,-3,0,1,0.7,1.06819942774619,0.67338689749216,-0.240252588066083,1.47437893935067,-1.10867147885925,1.27541722167292,-0.875084523825359,1.04857253214964,-0.614888010281788,0,0,0,0.227075262819506
"89",89,-3,1,1,0.7,1.10338410245942,-0.0903405930139406,0.862288797940845,1.76233998731384,-0.773964184603679,1.56020283505494,-0.553134206983336,1.32962518493635,-0.305136318867022,0,0,0.016,0.517548165860012
"90",90,-3,2,1,0.7,0.748746299182262,1.38810625212089,1.82329242797051,3.11696549140908,0.450330334254336,2.86836441584664,0.650070910178776,2.59528755224968,0.877626880681682,0,0,0,1.7221687395767
"91",91,-3,3,1,0.7,1.22413063514273,1.38847492623292,2.56837663533737,3.66970124981578,0.832971939187238,3.39443566865305,1.03217833230756,3.09198103468845,1.26343414030738,0,0,0,2.15599425575475
"92",92,-3,-3,2,0.7,0.799959632237167,-2.80606170288318,-2.00610207064601,-0.888068163471555,-5.16454235909719,-1.12550538913497,-4.70014968418497,-1.41543320096147,-4.18938167321327,0.994,1,1,-2.7283712842009
"93",93,-3,-2,2,0.7,0.65601100368278,-1.73457993110551,-1.7107407814552,-0.350018290560042,-3.73467529002568,-0.552547499507702,-3.37230812927436,-0.795257379225685,-2.97430980089712,0.896,0.944,0.988,-1.83669490324533
"94",94,-3,-1,2,0.7,1.15477496041754,-0.114605924148349,-1.15396297347543,0.644431806215418,-1.73389986123072,0.474993502374945,-1.50757998073206,0.279421906255492,-1.25626700292548,0,0,0.256,-0.471490040612211
"95",95,-3,0,2,0.7,1.11086797081994,0.73614319968462,-0.240252588066083,1.44281010902695,-0.683179703724574,1.27530722503993,-0.497409005692349,1.08451682171473,-0.289940628865455,0,0,0,0.402499035038958
"96",96,-3,1,2,0.7,0.872693739561163,0.302756720216345,0.862288797940845,1.61838662201608,-0.488203678997186,1.44857817006049,-0.30963521448305,1.25530952558201,-0.107334990960027,0,0,0,0.576547424385605
